nazism_AFG;Afghan Nationalist Party;Parti nationaliste afghan;Nationalistische Partei Afghanistans;;Partido Nacionalista Afgano;;;;;;;;;;x;
generical_fascism_AFG;Afghan Fascist League;Ligue fasciste afghane;Faschistische Liga Afghanistan;;Liga Fascista Afgana;;;;;;;;;;x;
reactionarism_AFG;National Revolutionary Party;Parti national révolutionnaire;Nationale Revolutionspartei;;Partido Revolucionario Nacional;;;;;;;;;;x;
conservatism_AFG;Afghan Conservative Party;Parti conservateur afghan;Konservative Partei Afghanistans;;Partido Conservador Afgano;;;;;;;;;;x;
liberalism_AFG;Afghan Liberal Party;Parti libéral afghan;Liberale Partei Afghanistans;;Partido Liberal Afgano;;;;;;;;;;x;
social_liberalism_AFG;NCPA;NCPA;NCPA;;NCPA;;;;;;;;;;x;
social_democracy_AFG;Afghan Social Democratic Party;Parti social démocratique afghan;Sozialdemokratische Partei Afghanistans;;Partido Socialdemócrata Afgano;;;;;;;;;;x;
marxism_AFG;RGPA;RGPA;RGPA;;RGPA;;;;;;;;;;x;
trotskyism_AFG;PDPA;PDPA;PDPA;;PDPA;;;;;;;;;;x;
stalinism_AFG;Communist Party of Afghanistan;Parti communiste afghan;Kommunistische Partei Afghanistans;;Partido Comunista de Afganistán;;;;;;;;;;x;
nazism_ALB;PNSh;PNSh;PNSh;;PNSh;;;;;;;;;;x;
generical_fascism_ALB;PFSh;PFSh;PFSh;;PFSh;;;;;;;;;;x;
reactionarism_ALB;PMSh;PMSh;PMSh;;PMSh;;;;;;;;;;x;
conservatism_ALB;PBKSh;PBKSh;PBKSh;;PBKSh;;;;;;;;;;x;
liberalism_ALB;PRSh;PRSh;PRSh;;PRSh;;;;;;;;;;x;
social_liberalism_ALB;PDSh;PDSh;PDSh;;PDSh;;;;;;;;;;x;
social_democracy_ALB;PSSh;PSSh;PSSh;;PSSh;;;;;;;;;;x;
marxism_ALB;PLPSh;PLPSh;PLPSh;;PLPSh;;;;;;;;;;x;
trotskyism_ALB;PKSh;PKSh;PKSh;;PKSh;;;;;;;;;;x;
stalinism_ALB;PPSh;PPSh;PPSh;;PPSh;;;;;;;;;;x;
nazism_ARG;Movimiento Nacional Socialista;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x;
generical_fascism_ARG;Frente Justicialista;Frente Justicialista;Frente Justicialista;;Frente Justicialista;;;;;;;;;;x;
reactionarism_ARG;Partido Justicialista;Partido Justicialista;Partido Justicialista,;;Partido Justicialista,;;;;;;;;;;x;
conservatism_ARG;Partido Demócrata Cristiano;Partido Demócrata Cristiano;Partido Demócrata Cristiano;;Partido Demócrata Cristiano;;;;;;;;;;x;
liberalism_ARG;Partido Nacional;Partido Nacional;Partido Nacional;;Partido Nacional;;;;;;;;;;x;
social_liberalism_ARG;Frente para la Victoria;Frente para la Victoria;Frente para la Victoria;;Frente para la Victoria;;;;;;;;;;x;
social_democracy_ARG;Partido Socialista;Partido Socialista;Partido Socialista;;Partido Socialista;;;;;;;;;;x;
marxism_ARG;Unión Cívica Radical;Unión Cívica Radical;Unión Cívica Radical;;Unión Cívica Radical;;;;;;;;;;x;
trotskyism_ARG;Partido Obrero;Partido Obrero;Partido Obrero;;Partido Obrero;;;;;;;;;;x;
stalinism_ARG;Partido Comunista de la Argentina;Partido Comunista de la Argentina;Partido Comunista de la Argentina;;Partido Comunista de la Argentina;;;;;;;;;;x;
nazism_AUS;NSDAP;NSDAP;NSDAP;;NSDAP;;;;;;;;;;x;
generical_fascism_AUS;VF;VF;VF;;VF;;;;;;;;;;x;
reactionarism_AUS;GDVP;GDVP;GDVP;;GDVP;;;;;;;;;;x;
conservatism_AUS;CSP;CSP;CSP;;CSP;;;;;;;;;;x;
liberalism_AUS;Landbund;Landbund;Landbund;;Landbund;;;;;;;;;;x;
social_liberalism_AUS;ÖSLP;ÖSLP;ÖSLP;;ÖSLP;;;;;;;;;;x;
social_democracy_AUS;SDAPÖ;SDAPÖ;SDAPÖ;;SDAPÖ;;;;;;;;;;x;
marxism_AUS;Schutzbund;Schutzbund;Schutzbund;;Schutzbund;;;;;;;;;;x;
trotskyism_AUS;MLPÖ;SDAPÖ;MLPÖ;;MLPÖ;;;;;;;;;;x;
stalinism_AUS;KPDÖ;Schutzbund;KPDÖ;;KPDÖ;;;;;;;;;;x;
nazism_BEL;Verdinaso;Verdinaso;Verdinaso;;Verdinaso;;;;;;;;;;x;
generical_fascism_BEL;Rex;Rex;Rex;;Rex;;;;;;;;;;x;
reactionarism_BEL;VNV;VNV;VNV;;VNV;;;;;;;;;;x;
conservatism_BEL;Katholieke Unie-Union Catholique;Katholieke Unie-Union Catholique;Katholieke Unie-Union Catholique;;Katholieke Unie-Union Catholique;;;;;;;;;;x;
liberalism_BEL;Liberale Partij-Parti Libéral;Liberale Partij-Parti Libéral;Liberale Partij-Parti Libéral;;Liberale Partij-Parti Libéral;;;;;;;;;;x;
social_liberalism_BEL;Afgescheurde Liberalen-Libéraux Déchirés;Afgescheurde Liberalen-Libéraux Déchirés;Afgescheurde Liberalen-Libéraux Déchirés;;Afgescheurde Liberalen-Libéraux Déchirés;;;;;;;;;;x;
social_democracy_BEL;BWP-BOP;BWP-BOP;BWP-BOP;;BWP-BOP;;;;;;;;;;x;
marxism_BEL;Rev.Soc.Actie-Action Soc.Rev.;Rev.Soc.Actie-Action Soc.Rev.;Rev.Soc.Actie-Action Soc.Rev.;;Rev.Soc.Actie-Action Soc.Rev.;;;;;;;;;;x;
trotskyism_BEL;Lijst Van Overstraeten-Liste Van Overstraeten;Lijst Van Overstraeten-Liste Van Overstraeten;Lijst Van Overstraeten-Liste Van Overstraeten;;Lijst Van Overstraeten-Liste Van Overstraeten;;;;;;;;;;x;
stalinism_BEL;KPB-PCB;KPB-PCB;KPB-PCB;;KPB-PCB;;;;;;;;;;x;
nazism_BHU;Bhutan National Socialist Party;Parti national socialiste du Bhoutan;Nationalsolzialistische Partei Bhutans;;Partido Nacionalsocialista de Bután;;;;;;;;;;x;
generical_fascism_BHU;Bhutan Fascist League;Ligue fasciste du Bhoutan;Faschistische Liga Bhutan;;Liga Fascista de Bután;;;;;;;;;;x;
reactionarism_BHU;Bhutan Peace and Prosperity Party;Parti de la paix et de la prospérité du Bhoutan;Friedens- und Wohlstandspartei Bhutans;;Partido de la Paz y la Prosperidad de Bután;;;;;;;;;;x;
conservatism_BHU;Bhutan Conservative Party;Parti conservateur du Bhoutan;Konservative Partei Bhutans;;Partido Conservador de Bután;;;;;;;;;;x;
liberalism_BHU;Bhutan National Democratic Party ;Parti national démocratique du Bhoutan;Nationaldemokratische Partei Bhutans;;Partido Nacional Demócrata de Bután ;;;;;;;;;;x;
social_liberalism_BHU;Bhutan National Congress Party;Parti national du Congrès du Bhoutan;Nationalkongresspartei Bhutans;;Partido del Congreso Nacional de Bután;;;;;;;;;;x;
social_democracy_BHU;People's Democratic Party;Parti démocratique populaire;Demokratische Volkspartei;;Partido Democrátrico del Pueblo;;;;;;;;;;x;
marxism_BHU;Bhutan Peoples' Party;Parti du peuple du Bhoutan;Bhutanische Volkspartei;;Partido del Pueblo de Bután;;;;;;;;;;x;
trotskyism_BHU;Bhutan Communist Party;Parti communiste du Bhoutan;Kommunistische Partei Bhutans;;Partido Comunista de Bután;;;;;;;;;;x;
stalinism_BHU;Communist Party of Bhutan;Parti communiste bhoutanais;Kommunistische Partei von Bhutan;;Partido Comunista de Bután;;;;;;;;;;x;
