EVTNAME9900;Japan hands over power to Emperor Bao Dai;;;;;;;;;x
EVTDESC9900;In August, events accelerate: the US drops the two nuclear bombs on Japan and the Soviet Union attacks the Japanese positions in Manchuria - the northern region of China. On the 16th, the Japanese in Vietnam hand over power to Emperor Bao Dai, and on the same day, the Viet Minh proclaimed the creation of a provisional government under the presidency of Uncle Ho.;;;;;;;;;x
EVTOPTA9900;Let them go.;;;;;;;;;x
EVTNAME9901;Communist revolution;;;;;;;;;x
EVTDESC9901;In the next few days, the people of Vietnam began to hold public protests, forcing, on August 30, the Emperor to abdicate. On the same day the Viet Minh proclaimed the Democratic Republic of Vietnam and three days later Uncle Ho gives a speech in Hanoi - Vietnam's main city - to half a million people.;;;;;;;;;x
EVTOPTA9901A;This isn't over yet;;;;;;;;;x
EVTNAME9902;Ho Chi Minh Proclames Independence;;;;;;;;;x
EVTDESC9902;On setember 2 of 1945 the Viet Minh proclaimed the Democratic Republic of Vietnam and three days later Uncle Ho gives a speech in Hanoi - Vietnam's main city - to half a million people.;;;;;;;;;x
EVTNAME9910;The Soviet Union call us to do a intervention on Persia;;;;;;;;x
EVTDESC9910;The persian government maybe will support German Reich attaking Soviet Union and British Raj. We can prevent it do a mutual intervention on them with Soviet Union.;;;;;;;;x
EVTOPTA9910A;Let's do it;;;;;;;;x
EVTOPTA9910B;We'll not do it with our other enemies;;;;;;;;x
EVTNAME9911;The United kingdom call us to do a intervention on Persia;;;;;;;;x
EVTDESC9911;The persian government maybe will support German Reich attaking Soviet Union and British Raj. We can prevent it do a mutual intervention on them with United Kingdom.;;;;;;;;x
retake_indochina_title;Go to war to secure colonial territories;;;;;;;;x
retake_indochina_desc;Indochinese communists, under command of Ho Chi Mihn, did a social revolution. If we want to prevail as a colonial power, we need to go to war.;;;;;;;;x
vassalize_indochina_title;Go to war to secure colonial territories;;;;;;;;x
vassalize_indochina_desc;In dificult time we lose our colonia in Indochina. To secure our position in world we need to show some strengh and go to war.;;;;;;;;x
liberate_indochina_title;Liberate Indochina;;;;;;;;x
liberate_indochina_desc;Face a dificult military situation and the possibilit to lose the Indochina control to the communists, we need try to secure the conservative values and monarchy position in Indochina as soon as possible.;;;;;;;;x
EVTNAME9920;Anglo-Egyptian treaty of 1936;;;;;;;;x
EVTDESC9920;Anglo-Egyptian Treaty, treaty signed in London on August 26, 1936, that officially brought to an end 54 years of British occupation in Egypt. Nevertheless, Egyptian sovereignty remained circumscribed by the terms of the treaty, which established a 20-year military alliance that allowed Great Britain to impose martial law and censorship in Egypt in the event of international emergency.;;;;;;;;x
EVTOPTA9920;It's not good, but not that bad;;;;;;;;x
EVTNAME9903;Franco-Soviet Treaty of Mutual Assistance;;;;;;;;x
EVTDESC9903; The Franco-Soviet Treaty of Mutual Assistance was a bilateral treaty between France and the Soviet Union with the aim of enveloping Nazi Germany in 1935 to reduce the threat from Central Europe. The pact was concluded in Paris on 2 May 1935 and ratified by the French government in February 1936. Ratifications were exchanged in Moscow on 27 March 1936, and the pact went into effect the same day. It was registered in League of Nations Treaty Series on 18 April 1936.;;;;;;;;x
EVTOPTA9903;France government ratified the pact;;;;;;;;x
EVTOPTA9904;Soviet government ratified the pact;;;;;;;;x
EVTDESC9905;By 1938, the appeasement policies implemented by British Prime Minister Neville Chamberlain and French Prime Minister Édouard Daladier ended collective security and further encouraged German aggression. The German Anschluss of Austria in 1938 and Munich Agreement, which led to the dismemberment of Czechoslovakia in 1938 and 1939, demonstrated the impossibility of establishing a collective security system in Europe. That and the reluctance of the British and the French governments to sign a full-scale anti-German political and military alliance with the Soviets led to the Molotov–Ribbentrop Pact between the Soviet Union and Germany in late August 1939.;;;;;;;;x
EVTOPTA9905;We have no reason to believe in the Franco-Soviet pact anymore;;;;;;;;x
EVTNAME9906;End of Czechoslovak–Soviet Treaty of Mutual Assistance
EVTDESC9906;On 16 May 1935 the Czechoslovak–Soviet Treaty of Alliance was signed after the Soviet treaty with France. Despite that Germany had started a low-intensity undeclared war on Czechoslovakia on 17 September 1938. In reaction, the United Kingdom and France on 20 September formally asked Czechoslovakia to cede its Sudetenland territory to Germany, which was followed by Polish territorial demands brought on 21 September and Hungarian on 22 September. An emergency meeting of the main European powers – not including Czechoslovakia – took place in Munich, Germany, on 29–30 September 1938. An agreement was quickly reached on Hitler's terms, being signed by the leaders of Germany, France, Britain, and Italy. The Czechoslovak mountainous borderland that the powers offered to appease Germany had not only marked the natural border between the Czech state and the Germanic states since the early Middle Ages, but it also presented a major natural obstacle to any possible German attack. Having been strengthened by significant border fortifications, the Sudetenland was of absolute strategic importance to Czechoslovakia.On 30 September, Czechoslovakia yielded to the combination of military pressure by Germany, Poland and Hungary, and diplomatic pressure by the United Kingdom and France, and agreed to give up territory to Germany on Munich terms. Then, on 1 October, Czechoslovakia also accepted Polish territorial demands.;;;;;;;;x
EVTOPTA9906;It's impossible to stop them now;;;;;;;;x
EVTNAME9907;End of Franco Czechoslovak Treaty of Mutual Assistance;;;;;;;;x
EVTOPTA9907;That's it.;;;;;;;;x
